#Variable: NDVI
#Data Source: Landsat 4/5/7/8 surface reflectance 30 m daily dataset (NASA/USGS) w/ cloud mask
#Missing Value: -9999
#Time Period: 1984-01-01 to 2020-05-07
#Area-Average over Earth Engine feature collection: projects/earthengine-legacy/assets/projects/climate-engine/featureCollections/shp_orig/SNMMPC_v2_S05_County_geo
#Alternative Name: UCDSNM014503
#Date(yyyy-mm-dd) NDVI
1984-04-25 -0.0357
1984-05-27 0.2259
1984-06-28 0.5348
1984-09-16 0.4390
1984-10-02 0.3855
1985-01-22 -0.0387
1985-05-14 0.2040
1985-06-15 0.4954
1985-07-17 0.5754
1985-08-02 0.5620
1985-08-18 0.5095
1985-10-05 0.3190
1985-11-22 0.0023
1986-01-25 -0.0050
1986-02-10 -0.0162
1986-02-26 -0.0613
1986-03-14 0.2140
1986-03-30 -0.0467
1986-05-01 -0.1953
1986-05-17 -0.1800
1986-06-02 0.3015
1986-06-18 0.4894
1986-07-04 0.6084
1986-07-20 0.6051
1986-08-05 0.5925
1986-08-21 0.5268
1986-09-06 0.4517
1986-09-22 0.3910
1986-10-08 0.3123
1986-11-09 0.2620
1986-11-25 0.2450
1986-12-11 0.0097
1986-12-27 -0.0077
1987-01-12 -0.0061
1987-02-04 -0.0070
1987-03-01 -0.0502
1987-04-02 -0.3200
1987-05-04 0.1957
1987-06-05 0.4413
1987-06-21 0.5736
1987-07-07 0.5526
1987-07-14 0.5571
1987-07-23 0.5333
1987-07-30 0.5038
1987-08-08 0.4495
1987-08-24 0.4068
1987-09-25 0.3188
1987-10-11 0.2940
1988-03-19 -0.0914
1988-04-04 -0.0456
1988-05-22 0.3503
1988-06-23 0.5758
1988-07-09 0.5818
1988-08-26 0.4578
1988-09-11 0.4030
1988-09-27 0.3077
1988-10-29 0.2950
1988-11-14 -0.0031
1988-11-30 -0.0177
1988-12-16 -0.0336
1989-01-17 -0.0226
1989-03-22 -0.2689
1989-04-07 -0.3755
1989-05-25 0.2697
1989-06-10 0.4318
1989-07-28 0.5882
1989-08-13 0.5529
1989-08-29 0.4917
1989-09-30 0.3865
1989-10-16 0.3445
1989-11-01 -0.0499
1989-11-17 0.2202
1989-12-03 -0.0160
1989-12-19 -0.0475
1990-02-21 -0.0230
1990-03-09 -0.0484
1990-03-25 -0.0889
1990-04-10 -0.0543
1990-04-26 0.0115
1990-05-12 0.3360
1990-06-13 0.5230
1990-08-16 0.5187
1990-09-01 0.4425
1990-09-17 0.3837
1990-10-03 0.3520
1991-04-13 -0.1703
1991-04-29 -0.3889
1991-05-15 -0.3413
1991-05-31 0.2250
1991-06-16 0.4240
1991-07-02 0.5328
1991-07-18 0.5623
1991-08-03 0.5412
1991-09-20 0.4584
1991-10-06 0.3875
1992-05-01 0.2526
1992-05-17 0.3914
1992-06-02 0.5520
1992-06-18 0.5496
1992-07-04 0.4917
1992-07-20 0.5235
1992-08-05 0.4626
1992-08-21 0.4627
1992-09-06 0.4319
1992-09-22 0.3629
1992-10-08 0.3395
1992-11-09 -0.0035
1992-11-25 -0.0128
1992-12-27 -0.0176
1993-01-28 -0.0349
1993-02-13 -0.0154
1993-03-01 -0.0266
1993-04-02 -0.0582
1993-05-04 -0.0713
1993-07-07 0.5662
1993-08-08 0.6276
1993-08-24 0.5808
1993-09-09 0.5056
1993-09-25 0.4353
1993-10-27 0.3417
1993-11-12 0.0206
1993-12-30 -0.0141
1994-01-15 -0.0288
1994-01-31 -0.0152
1994-02-16 0.0093
1994-03-20 -0.0689
1994-04-05 -0.0570
1994-04-21 -0.0492
1994-05-23 0.2627
1994-06-08 0.5274
1994-06-24 0.5674
1994-07-10 0.5824
1994-07-26 0.5438
1994-08-11 0.4676
1994-08-27 0.4069
1994-09-12 0.3565
1994-10-30 0.2837
1994-12-17 -0.0201
1995-02-03 -0.0513
1995-02-19 -0.0440
1995-03-07 -0.0111
1995-04-24 -0.4157
1995-05-10 -0.3934
1995-05-26 -0.2298
1995-06-11 -0.0687
1995-06-27 -0.0110
1995-07-29 0.6261
1995-08-14 0.6448
1995-08-30 0.6313
1995-09-15 0.5704
1995-10-01 0.4993
1995-10-17 0.4103
1995-12-20 -0.0107
1995-12-27 -0.0016
1996-01-12 -0.0418
1996-03-25 -0.2028
1996-04-10 -0.0882
1996-04-26 -0.3656
1996-05-12 -0.0951
1996-05-28 0.2214
1996-06-13 0.4933
1996-06-20 0.4671
1996-06-29 0.5995
1996-07-06 0.6204
1996-07-15 0.6706
1996-07-22 0.6653
1996-07-31 0.6245
1996-08-07 0.6109
1996-08-23 0.5364
1996-09-01 0.4889
1996-09-17 0.3964
1996-09-24 0.4162
1996-10-03 0.3646
1996-10-10 0.3649
1996-10-26 0.0580
1996-11-20 0.2796
1997-01-07 -0.0164
1997-01-14 -0.0074
1997-01-30 -0.0238
1997-02-24 -0.0537
1997-03-12 -0.0614
1997-03-28 -0.0796
1997-04-13 -0.0694
1997-04-29 -0.0085
1997-05-06 -0.0421
1997-05-15 0.2770
1997-05-31 0.4815
1997-06-07 0.5602
1997-06-16 0.5939
1997-06-23 0.5368
1997-07-02 0.6191
1997-07-18 0.6087
1997-08-03 0.5855
1997-08-19 0.4331
1997-09-04 0.4704
1997-09-20 0.4363
1997-10-06 0.3874
1997-10-22 0.3275
1997-11-23 -0.0336
1997-12-09 -0.0205
1997-12-25 -0.0235
1998-01-26 -0.0265
1998-02-11 -0.0944
1998-03-15 -0.0763
1998-04-16 -0.3619
1998-05-18 -0.3891
1998-06-19 -0.0963
1998-07-05 0.3688
1998-07-21 0.5851
1998-08-06 0.6702
1998-08-22 0.6634
1998-09-07 0.6194
1998-09-23 0.4881
1998-10-09 0.4859
1998-11-26 -0.0014
1998-12-12 -0.0260
1998-12-28 -0.0036
1999-01-13 -0.0338
1999-01-29 -0.0208
1999-03-02 -0.0524
1999-03-18 -0.0483
1999-04-19 -0.4324
1999-05-21 -0.3494
1999-06-22 0.3898
1999-06-30 0.5072
1999-07-08 0.5807
1999-07-16 0.6494
1999-07-24 0.6431
1999-08-01 0.6568
1999-08-17 0.6508
1999-08-25 0.5879
1999-09-02 0.5713
1999-09-10 0.4899
1999-09-26 0.4740
1999-10-04 0.4550
1999-10-12 0.4172
1999-10-20 0.3837
1999-11-05 0.3453
1999-11-13 0.0303
1999-11-21 -0.1362
1999-12-15 -0.0005
1999-12-23 -0.1016
2000-01-08 -0.2303
2000-02-01 -0.0247
2000-02-25 -0.1809
